2023-08-04 15:43:45.771 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-04 15:43:45.834 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 15:43:45.834 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-04 15:43:45.873 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 15:43:45.873 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-04 15:43:45.875 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 15:43:45.876 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-04 15:43:45.878 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 15:43:45.878 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-04 15:43:45.880 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 15:43:45.880 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-04 15:43:45.882 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 15:46:40.808 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-04 15:46:40.814 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 15:46:40.816 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
2023-08-04 15:46:40.816 | INFO     | __main__:get_images:62 - Найдено 0 изображений
2023-08-04 15:46:40.816 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 15:46:40.816 | INFO     | __main__:wrapper:42 - Перемещаем фотографии с cd-карты камеры в папку Client
2023-08-04 15:46:40.821 | INFO     | __main__:get_images:62 - Найдено 0 изображений
2023-08-04 15:46:40.823 | INFO     | __main__:get_images:62 - Найдено 0 изображений
2023-08-04 15:46:40.823 | INFO     | __main__:get_images:62 - Найдено 0 изображений
2023-08-04 15:46:40.823 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 15:46:40.823 | INFO     | __main__:wrapper:42 - Удаляем фон с изображений
2023-08-04 15:46:40.828 | INFO     | __main__:get_images:62 - Найдено 0 изображений
2023-08-04 15:46:40.829 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 15:46:40.829 | INFO     | __main__:wrapper:42 - Увеличиваем резкость
2023-08-04 15:46:40.829 | INFO     | __main__:get_images:62 - Найдено 0 изображений
2023-08-04 15:46:40.829 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 15:46:40.829 | INFO     | __main__:wrapper:42 - Переименовываем оригиналы
2023-08-04 15:46:40.836 | INFO     | __main__:get_images:62 - Найдено 0 изображений
2023-08-04 15:46:40.837 | INFO     | __main__:wrapper:44 - 	✓
2023-08-04 15:47:17.147 | INFO     | __main__:wrapper:42 - Перемещаем оригиналы фотографий в корзину
